"","UniqueID","Experiment","Year","Site.x","Treatment1_Density","Treatment2_Diversity","Color_Bucket","Number.x","Species.x","RFTM_score.x","peacrabs.x","Date_pre","Site.y","Treatment","Color","Number.y","Species.y","Length_pre","Width_pre","Height_pre","Weight_pre","Length_post","Width_post","Height_post","Weight_post","RFTM_date","RFTM_score.y","peacrabs.y","LiveMM","Treatment2","Colornumber"
"72","2017_SW_HIGH_MONO_B1_CV","Field17",2017,"SW","HIGH","MONO","B",1,"CV",0,0,"5/30/2017","SW","HL","B","1","CV","20.4","17.6","5","0.92","58.24",40.04,"26.45",28.22,"9/25-9/30","0",NA,0,"HIGH_MONO","B1"
"73","2017_SW_HIGH_MONO_B11_CV","Field17",2017,"SW","HIGH","MONO","B",11,"CV",1,0,"5/30/2017","SW","HL","B","11","CV","20.8","16.4","5","1.04","51.2",42.45,"19.8",21.1,"9/25-9/30","1",NA,0,"HIGH_MONO","B11"
"74","2017_SW_HIGH_MONO_B13_CV","Field17",2017,"SW","HIGH","MONO","B",13,"CV",0,0,"5/30/2017","SW","HL","B","13","CV","18.4","17.6","5.5","0.92","53.5",42.58,"19.15",26.99,"9/25-9/30","0",NA,0,"HIGH_MONO","B13"
"75","2017_SW_HIGH_MONO_B3_CV","Field17",2017,"SW","HIGH","MONO","B",3,"CV",0.5,0,"5/30/2017","SW","HL","B","3","CV","24.4","15","7.1","0.95","54.34",36.54,"19.21",19.73,"9/25-9/30","0.5",NA,0,"HIGH_MONO","B3"
"76","2017_SW_HIGH_MONO_B9_CV","Field17",2017,"SW","HIGH","MONO","B",9,"CV",0,0,"5/30/2017","SW","HL","B","9","CV","19.5","14.8","5.2","0.79","54.16",39.96,"16.33",18.19,"9/25-9/30","0",NA,0,"HIGH_MONO","B9"
"77","2017_SW_HIGH_MONO_P13_CV","Field17",2017,"SW","HIGH","MONO","P",13,"CV",3,0,"5/30/2017","SW","HL","P","13","CV","20","14.15","5.6","0.84","56.49",34.56,"19.81",17.64,"9/23-9/29","3",NA,0,"HIGH_MONO","P13"
"78","2017_SW_HIGH_MONO_P15_CV","Field17",2017,"SW","HIGH","MONO","P",15,"CV",0.5,0,"5/30/2017","SW","HL","P","15","CV","24.7","14.6","7.25","1.29","53.03",49.65,"18.99",23.53,"9/23-9/29","0.5",NA,0,"HIGH_MONO","P15"
"79","2017_SW_HIGH_MONO_R1_CV","Field17",2017,"SW","HIGH","MONO","R",1,"CV",1,0,"5/30/2017","SW","HL","R","1","CV","20","15.8","5","0.84","48.88",38.11,"22.54",22.15,"9/24-9/29","1",NA,0,"HIGH_MONO","R1"
"80","2017_SW_HIGH_MONO_R13_CV","Field17",2017,"SW","HIGH","MONO","R",13,"CV",3,0,"5/30/2017","SW","HL","R","13","CV","21","17.2","6.7","0.02","45.25",35.68,"28.77",17.1,"9/24-9/30","3",NA,0,"HIGH_MONO","R13"
"81","2017_SW_HIGH_MONO_R17_CV","Field17",2017,"SW","HIGH","MONO","R",17,"CV",1,0,"5/30/2017","SW","HL","R","17","CV","18.5","16.8","5.8","0.76","54.09",46.36,"21.49",24.56,"9/24-9/30","1",NA,0,"HIGH_MONO","R17"
"82","2017_SW_HIGH_MONO_R3_CV","Field17",2017,"SW","HIGH","MONO","R",3,"CV",2,0,"5/30/2017","SW","HL","R","3","CV","20.5","12.8","6","0.82","50.03",47.71,"18.32",24.01,"9/24-9/30","2",NA,0,"HIGH_MONO","R3"
"83","2017_SW_HIGH_MONO_R7_CV","Field17",2017,"SW","HIGH","MONO","R",7,"CV",3,0,"5/30/2017","SW","HL","R","7","CV","18.6","16.5","5.5","0.78","57.14",46.84,"22.12",27.57,"9/24-9/30","3",NA,0,"HIGH_MONO","R7"
"84","2017_SW_HIGH_MONO_Y3_CV","Field17",2017,"SW","HIGH","MONO","Y",3,"CV",2,0,"5/30/2017","SW","HL","Y","3","CV","19.6","16.9","5.85","0.98","57.68",41.28,"21.29",19.93,"9/24-9/30","2",NA,0,"HIGH_MONO","Y3"
"85","2017_SW_HIGH_POLY_B2_CV","Field17",2017,"SW","HIGH","POLY","B",2,"CV",1,0,"5/28/2017","SW","HH","B","2","CV","MISSING","MISSING","MISSING","MISSING","42.89",50.52,"24.01",23.17,"9/25-9/30","1",NA,0,"HIGH_POLY","B2"
"86","2017_SW_HIGH_POLY_B8_CV","Field17",2017,"SW","HIGH","POLY","B",8,"CV",0.5,0,"5/28/2017","SW","HH","B","8","CV","MISSING","MISSING","MISSING","MISSING","57.44",44.69,"25.88",26.25,"9/25-9/30","0.5",NA,0,"HIGH_POLY","B8"
"87","2017_SW_HIGH_POLY_R13_CV","Field17",2017,"SW","HIGH","POLY","R",13,"CV",0,0,"5/28/2017","SW","HH","R","13","CV","MISSING","MISSING","MISSING","MISSING","65.59",52.07,"19.7",33.48,"9/25-9/30","0",NA,5,"HIGH_POLY","R13"
"88","2017_SW_HIGH_POLY_R2_CV","Field17",2017,"SW","HIGH","POLY","R",2,"CV",0,0,"5/28/2017","SW","HH","R","2","CV","MISSING","MISSING","MISSING","MISSING","61.19",43.06,"22.3",33.53,"9/25-9/30","0",NA,5,"HIGH_POLY","R2"
"89","2017_SW_HIGH_POLY_R4_CV","Field17",2017,"SW","HIGH","POLY","R",4,"CV",2,0,"5/28/2017","SW","HH","R","4","CV","MISSING","MISSING","MISSING","MISSING","60.58",44.97,"22.08",27.14,"9/25-9/30","2",NA,5,"HIGH_POLY","R4"
"90","2017_SW_HIGH_POLY_Y1_CV","Field17",2017,"SW","HIGH","POLY","Y",1,"CV",1,0,"5/28/2017","SW","HH","Y","1","CV","MISSING","MISSING","MISSING","MISSING","56.89",49.83,"20.77",28.45,"9/24-9/30","1",NA,3,"HIGH_POLY","Y1"
"91","2017_SW_HIGH_POLY_Y13_CV","Field17",2017,"SW","HIGH","POLY","Y",13,"CV",2,0,"5/28/2017","SW","HH","Y","13","CV","MISSING","MISSING","MISSING","MISSING","46.13",31.67,"18.99",13.24,"9/24-9/30","2",NA,3,"HIGH_POLY","Y13"
